"term1","term2","cooc"
"age","ability",11
"altruism","ability",17
"anonymity","ability",10
"central nervous system","ability",13
"charitable","ability",2
"chicken game","ability",3
"cognition","ability",33
"commitment","ability",6
"communication","ability",7
"competitive","ability",18
"compliance","ability",6
"conflict","ability",9
"cooperation","ability",76
"coordination","ability",3
"culture","ability",16
"dyad","ability",3
"efficiency","ability",15
"emotion","ability",10
"emotion valence","ability",3
"endowment","ability",0
"environmental","ability",3
"equality","ability",4
"equilibrium","ability",4
"evolution","ability",7
"expectations","ability",12
"experience","ability",3
"fairness","ability",7
"favoritism","ability",3
"feedback","ability",0
"framing","ability",6
"game duration","ability",10
"gender","ability",16
"goal","ability",10
"group","ability",40
"group identification","ability",11
"guilt","ability",3
"harvest","ability",9
"heterogeneous","ability",7
"incentives","ability",47
"individual differences","ability",11
"information","ability",17
"interdependence","ability",2
"intergroup","ability",8
"intuition","ability",9
"knowledge","ability",6
"leadership","ability",4
"learning","ability",4
"moral","ability",16
"motivation","ability",26
"norm","ability",5
"partner type","ability",12
"perception","ability",13
"perspective","ability",9
"power","ability",4
"preference","ability",12
"prisoner's dilemma","ability",21
"promise","ability",1
"psychopathology","ability",6
"public goods dilemma","ability",15
"punishment","ability",20
"reciprocity","ability",9
"reputation","ability",4
"resource dilemma","ability",3
"reward","ability",5
"risk","ability",4
"rule","ability",8
"sequentiality","ability",3
"social value orientation","ability",12
"socio-economic status","ability",6
"strategy","ability",42
"structure","ability",11
"threat","ability",12
"time pressure","ability",7
"trust","ability",5
"uncertainty","ability",1
"altruism","age",16
"anonymity","age",1
"central nervous system","age",6
"charitable","age",2
"chicken game","age",3
"cognition","age",10
"commitment","age",2
"communication","age",11
"competitive","age",27
"compliance","age",5
"conflict","age",6
"cooperation","age",84
"coordination","age",2
"culture","age",26
"dyad","age",13
"efficiency","age",15
"emotion","age",5
"emotion valence","age",6
"endowment","age",5
"environmental","age",4
"equality","age",8
"equilibrium","age",1
"evolution","age",6
"expectations","age",8
"experience","age",3
"fairness","age",8
"favoritism","age",2
"feedback","age",4
"framing","age",5
"game duration","age",15
"gender","age",39
"goal","age",9
"group","age",55
"group identification","age",7
"guilt","age",2
"harvest","age",5
"heterogeneous","age",13
"incentives","age",52
"individual differences","age",10
"information","age",11
"interdependence","age",2
"intergroup","age",4
"intuition","age",1
"knowledge","age",6
"leadership","age",7
"learning","age",1
"moral","age",4
"motivation","age",26
"norm","age",4
"partner type","age",13
"perception","age",3
"perspective","age",11
"power","age",10
"preference","age",12
"prisoner's dilemma","age",24
"promise","age",3
"psychopathology","age",11
"public goods dilemma","age",16
"punishment","age",17
"reciprocity","age",11
"reputation","age",1
"resource dilemma","age",4
"reward","age",6
"risk","age",4
"rule","age",5
"sequentiality","age",7
"social value orientation","age",9
"socio-economic status","age",13
"strategy","age",32
"structure","age",9
"threat","age",12
"time pressure","age",3
"trust","age",7
"uncertainty","age",0
"anonymity","altruism",10
"central nervous system","altruism",19
"charitable","altruism",9
"chicken game","altruism",2
"cognition","altruism",17
"commitment","altruism",12
"communication","altruism",19
"competitive","altruism",51
"compliance","altruism",8
"conflict","altruism",28
"cooperation","altruism",193
"coordination","altruism",5
"culture","altruism",47
"dyad","altruism",10
"efficiency","altruism",19
"emotion","altruism",20
"emotion valence","altruism",16
"endowment","altruism",7
"environmental","altruism",18
"equality","altruism",7
"equilibrium","altruism",10
"evolution","altruism",20
"expectations","altruism",24
"experience","altruism",1
"fairness","altruism",23
"favoritism","altruism",9
"feedback","altruism",7
"framing","altruism",9
"game duration","altruism",14
"gender","altruism",49
"goal","altruism",15
"group","altruism",96
"group identification","altruism",16
"guilt","altruism",11
"harvest","altruism",8
"heterogeneous","altruism",29
"incentives","altruism",141
"individual differences","altruism",23
"information","altruism",23
"interdependence","altruism",6
"intergroup","altruism",18
"intuition","altruism",7
"knowledge","altruism",16
"leadership","altruism",13
"learning","altruism",6
"moral","altruism",16
"motivation","altruism",63
"norm","altruism",25
"partner type","altruism",23
"perception","altruism",8
"perspective","altruism",17
"power","altruism",11
"preference","altruism",25
"prisoner's dilemma","altruism",44
"promise","altruism",6
"psychopathology","altruism",4
"public goods dilemma","altruism",32
"punishment","altruism",67
